game_id,entity,controller_type,seat,decisions,llm_calls,calls_per_decision,tokens_per_decision,seconds_per_decision,initial_disagreement,opinion_change,consensus_formation,decider_adoption_any,minority_adoption,review_intervention,fallback_rate,advice_diversity,officer_decider_agreement,error_rate__leader,error_rate__member_1,error_rate__member_2,error_rate__member_3,adoption__member_1,adoption__member_2,adoption__member_3,error_rate__baseline-1,error_rate__baseline-2,error_rate__baseline-3
FE07,baseline-1,llm_baseline,1,87,95,1.0919540229885059,6396.931034482759,2.82432183908046,,,,,,,0.0,,,,,,,,,,0.08421052631578947,,
FE07,fe,flat_ensemble,2,57,306,5.368421052631579,33967.649122807015,45.032105263157895,0.08771929824561403,,,0.9649122807017544,0.3333333333333333,,0.0,1.087719298245614,0.9412071846282372,0.0,0.0,0.0,0.0,0.9473684210526315,0.9464285714285714,0.9298245614035088,,,
FE07,baseline-2,llm_baseline,3,60,72,1.2,6970.733333333334,2.657566666666667,,,,,,,0.0,,,,,,,,,,,0.16666666666666666,
FE07,baseline-3,llm_baseline,4,77,86,1.1168831168831168,6525.2467532467535,2.5807012987012987,,,,,,,0.0,,,,,,,,,,,,0.10465116279069768
FE08,baseline-1,llm_baseline,1,57,57,1.0,7069.403508771929,15.29740350877193,,,,,,,0.0,,,,,,,,,,0.0,,
FE08,fe,flat_ensemble,2,56,294,5.25,34411.46428571428,57.406178571428576,0.35714285714285715,,,0.9821428571428571,0.45454545454545453,,0.0,1.2321428571428572,0.875,0.0,0.0,0.0,0.0,0.8214285714285714,0.8928571428571429,0.9107142857142857,,,
FE08,baseline-2,llm_baseline,3,58,58,1.0,7299.879310344828,19.777741379310342,,,,,,,0.0,,,,,,,,,,,0.0,
FE08,baseline-3,llm_baseline,4,59,59,1.0,7862.762711864407,25.141220338983054,,,,,,,0.0,,,,,,,,,,,,0.0
FE09,baseline-1,llm_baseline,1,63,101,1.6031746031746033,9786.20634920635,5.013873015873016,,,,,,,0.0,,,,,,,,,,0.37623762376237624,,
FE09,baseline-2,llm_baseline,2,73,114,1.5616438356164384,9599.397260273972,5.0933972602739725,,,,,,,0.0,,,,,,,,,,,0.35964912280701755,
FE09,fe,flat_ensemble,3,38,201,5.2894736842105265,33889.68421052631,56.63307894736842,0.47368421052631576,,,0.868421052631579,0.4,,0.0,1.5,0.6984352773826458,0.0,0.0,0.0,0.0,0.6842105263157895,0.7894736842105263,0.6216216216216216,,,
FE09,baseline-3,llm_baseline,4,82,124,1.5121951219512195,9354.329268292682,5.310939024390244,,,,,,,0.0,,,,,,,,,,,,0.3387096774193548
FE10,baseline-1,llm_baseline,1,58,68,1.1724137931034482,6759.0,2.9945689655172414,,,,,,,0.0,,,,,,,,,,0.14705882352941177,,
FE10,baseline-2,llm_baseline,2,83,92,1.108433734939759,6531.144578313253,3.0384096385542168,,,,,,,0.012048192771084338,,,,,,,,,,,0.10869565217391304,
FE10,fe,flat_ensemble,3,66,345,5.2272727272727275,35399.045454545456,69.67113636363636,0.5454545454545454,,,0.8484848484848485,0.3793103448275862,,0.0,1.6666666666666667,0.6477272727272726,0.0,0.0,0.0,0.0,0.6363636363636364,0.625,0.6818181818181818,,,
FE10,baseline-3,llm_baseline,4,65,73,1.123076923076923,6625.030769230769,3.8676615384615385,,,,,,,0.0,,,,,,,,,,,,0.1095890410958904
FE11,baseline-1,llm_baseline,1,60,61,1.0166666666666666,7556.483333333334,20.25745,,,,,,,0.0,,,,,,,,,,0.01639344262295082,,
FE11,baseline-2,llm_baseline,2,92,96,1.0434782608695652,8790.065217391304,33.39247826086957,,,,,,,0.0,,,,,,,,,,,0.041666666666666664,
