game_id,entity,controller_type,seat,decisions,llm_calls,calls_per_decision,tokens_per_decision,seconds_per_decision,initial_disagreement,opinion_change,consensus_formation,decider_adoption_any,minority_adoption,review_intervention,fallback_rate,advice_diversity,officer_decider_agreement,error_rate__chief_grand_secretary,error_rate__emperor,error_rate__grand_secretary_1,error_rate__grand_secretary_2,adoption__chief_grand_secretary,adoption__grand_secretary_1,adoption__grand_secretary_2,error_rate__leader,error_rate__member_1,error_rate__member_2,error_rate__member_3,adoption__member_1,adoption__member_2,adoption__member_3
CF06,fe-2,flat_ensemble,3,71,371,5.225352112676056,35543.464788732395,63.55632394366197,0.6901408450704225,,,0.8235294117647058,0.525,,0.0,1.8591549295774648,0.5147058823529411,,,,,,,,0.0,0.0,0.0,0.0,0.5882352941176471,0.4852941176470588,0.47058823529411764
CF06,court-2,ming_court,4,89,644,7.235955056179775,57730.76404494382,131.59244943820224,0.47191011235955055,0.48091603053435117,0.42857142857142855,0.8045977011494253,0.3333333333333333,,0.011235955056179775,1.3146067415730338,0.7203065134099617,0.04923076923076923,0.22321428571428573,0.0728476821192053,0.014084507042253521,0.7241379310344828,0.7471264367816092,0.6896551724137931,,,,,,,
CF07,court-1,ming_court,1,73,497,6.808219178082192,52203.09589041096,88.00071232876712,0.4246575342465753,0.40816326530612246,0.5483870967741935,0.9726027397260274,0.08333333333333333,,0.0,1.2191780821917808,0.9036656519533232,0.03474903474903475,0.02666666666666667,0.06422018348623854,0.1889763779527559,0.958904109589041,0.8493150684931506,0.9027777777777778,,,,,,,
CF07,court-2,ming_court,2,72,514,7.138888888888889,56319.26388888889,101.20238888888889,0.5,0.509090909090909,0.3611111111111111,0.9722222222222222,0.21052631578947367,,0.0,1.375,0.8455026455026454,0.08088235294117647,0.0,0.00909090909090909,0.1984732824427481,0.875,0.8472222222222222,0.8142857142857143,,,,,,,
CF07,fe-1,flat_ensemble,3,62,318,5.129032258064516,34712.290322580644,62.59246774193549,0.43548387096774194,,,0.8870967741935484,0.4583333333333333,,0.0,1.4516129032258065,0.7367413887370148,,,,,,,,0.0,0.0,0.0,0.0,0.7903225806451613,0.7419354838709677,0.6779661016949152
CF07,fe-2,flat_ensemble,4,55,292,5.3090909090909095,34571.92727272727,47.686890909090906,0.10909090909090909,,,0.8363636363636363,0.4,,0.0,1.0909090909090908,0.806060606060606,,,,,,,,0.0,0.0,0.0,0.0,0.7818181818181819,0.8363636363636363,0.8
CF08,court-1,ming_court,1,86,598,6.953488372093023,58493.74418604651,108.19926744186047,0.5116279069767442,0.4696969696969697,0.45454545454545453,0.8372093023255814,0.391304347826087,,0.0,1.2906976744186047,0.7489034373439298,0.006578947368421052,0.044444444444444446,0.20754716981132076,0.007633587786259542,0.7558139534883721,0.7261904761904762,0.7647058823529411,,,,,,,
CF08,fe-1,flat_ensemble,2,55,285,5.181818181818182,34199.07272727273,53.14741818181818,0.38181818181818183,,,0.9090909090909091,0.4666666666666667,,0.0,1.4545454545454546,0.7439096850861556,,,,,,,,0.0,0.0,0.0,0.0,0.8181818181818182,0.6862745098039216,0.7272727272727273
CF08,court-2,ming_court,3,58,319,5.5,37909.379310344826,50.78731034482759,0.1206896551724138,0.4090909090909091,0.7142857142857143,1.0,0.0,,0.0,1.0344827586206897,0.9884049203468441,0.0,0.0,0.1095890410958904,0.0,0.9827586206896551,0.9824561403508771,1.0,,,,,,,
CF08,fe-2,flat_ensemble,4,71,364,5.126760563380282,35164.19718309859,71.25363380281689,0.4084507042253521,,,0.8028169014084507,0.47619047619047616,,0.0,1.4507042253521127,0.6886962802455759,,,,,,,,0.0,0.0,0.0,0.0,0.704225352112676,0.6153846153846154,0.7464788732394366
CF09,fe-1,flat_ensemble,1,58,297,5.120689655172414,33114.55172413793,45.09843103448276,0.08620689655172414,,,0.9827586206896551,0.0,,0.0,1.0689655172413792,0.9594676346037508,,,,,,,,0.0,0.0,0.0,0.0,0.9473684210526315,0.9655172413793104,0.9655172413793104
CF09,fe-2,flat_ensemble,2,65,339,5.2153846153846155,35835.8,69.93627692307693,0.6615384615384615,,,0.8615384615384616,0.32,,0.0,1.9076923076923078,0.5935897435897436,,,,,,,,0.0,0.0,0.0,0.0,0.55,0.7076923076923077,0.5230769230769231
CF09,court-1,ming_court,3,75,547,7.293333333333333,55679.4,92.06550666666666,0.52,0.4576271186440678,0.4358974358974359,0.9733333333333334,0.19047619047619047,,0.0,1.3066666666666666,0.861248097412481,0.14426229508196722,0.025974025974025976,0.05084745762711865,0.06557377049180328,0.8904109589041096,0.8933333333333333,0.8,,,,,,,
CF09,court-2,ming_court,4,74,552,7.45945945945946,57690.08108108108,98.16886486486487,0.5540540540540541,0.49206349206349204,0.3170731707317073,0.9324324324324325,0.20833333333333334,,0.0,1.4324324324324325,0.8018018018018017,0.1786833855799373,0.0,0.008620689655172414,0.008620689655172414,0.7837837837837838,0.8243243243243243,0.7972972972972973,,,,,,,
