experiment,game_id,entity,controller_type,seat,decisions,llm_calls,p008_calls_per_decision,p008_tokens_per_decision,p008_seconds_per_decision,p001_initial_disagreement,p002_opinion_change,p003_consensus_formation,p004_decider_adoption_any,p005_minority_adoption,p006_review_intervention,p009_fallback_rate,p010_advice_diversity,p011_officer_decider_agreement,p009_error_rate__chief_grand_secretary,p009_error_rate__emperor,p009_error_rate__grand_secretary_1,p009_error_rate__grand_secretary_2,p004_adoption__chief_grand_secretary,p004_adoption__grand_secretary_1,p004_adoption__grand_secretary_2,p009_error_rate__baseline-1,p009_error_rate__baseline-2,p009_error_rate__baseline-3,p009_error_rate__chancellor,p009_error_rate__grand_marshal,p009_error_rate__imperial_counsellor,p004_adoption__chancellor,p004_adoption__grand_marshal,p009_error_rate__minister_1,p009_error_rate__minister_2,p009_error_rate__minister_3,p004_adoption__minister_1,p004_adoption__minister_2,p004_adoption__minister_3,p009_error_rate__menxia,p009_error_rate__shangshu,p009_error_rate__zhongshu,p004_adoption__zhongshu,p009_error_rate__leader,p009_error_rate__member_1,p009_error_rate__member_2,p009_error_rate__member_3,p004_adoption__member_1,p004_adoption__member_2,p004_adoption__member_3
court-vs-baseline,MI12,baseline-3,llm_baseline,4,58,94,1.6206896551724137,9791.48275862069,4.786431034482758,,,,,,,0.0,,,,,,,,,,,,0.3829787234042553,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI13,baseline-1,llm_baseline,1,57,65,1.1403508771929824,6584.666666666667,2.9750701754385966,,,,,,,0.0,,,,,,,,,,0.12307692307692308,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI13,baseline-2,llm_baseline,2,62,69,1.1129032258064515,6383.935483870968,2.356387096774194,,,,,,,0.0,,,,,,,,,,,0.10144927536231885,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI13,ming-court,ming_court,3,81,577,7.1234567901234565,57751.753086419754,105.10606172839506,0.6049382716049383,0.5374149659863946,0.40816326530612246,0.8271604938271605,0.4444444444444444,,0.0,1.382716049382716,0.691358024691358,0.003424657534246575,0.03571428571428571,0.1456953642384106,0.015267175572519083,0.6666666666666666,0.6419753086419753,0.7654320987654321,,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI13,baseline-3,llm_baseline,4,59,64,1.0847457627118644,6206.169491525424,2.5507118644067797,,,,,,,0.0,,,,,,,,,,,,0.078125,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI14,baseline-1,llm_baseline,1,72,73,1.0138888888888888,8337.125,29.388513888888887,,,,,,,0.0,,,,,,,,,,0.0136986301369863,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI14,baseline-2,llm_baseline,2,62,62,1.0,7436.0161290322585,19.6416935483871,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI14,baseline-3,llm_baseline,3,56,56,1.0,7571.035714285715,21.453785714285715,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI14,ming-court,ming_court,4,72,528,7.333333333333333,54119.25,84.37904166666667,0.4583333333333333,0.4954954954954955,0.42424242424242425,0.9583333333333334,0.2222222222222222,,0.0,1.3055555555555556,0.8472222222222223,0.19344262295081968,0.0136986301369863,0.009345794392523364,0.07017543859649122,0.8472222222222222,0.8333333333333334,0.8611111111111112,,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI15,baseline-1,llm_baseline,1,73,82,1.1232876712328768,7802.972602739726,23.047767123287674,,,,,,,0.0136986301369863,,,,,,,,,,0.13253012048192772,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,MI15,baseline-2,llm_baseline,2,64,68,1.0625,7270.546875,20.26884375,,,,,,,0.015625,,,,,,,,,,,0.08695652173913043,,,,,,,,,,,,,,,,,,,,,,,
