game_id,entity,controller_type,seat,decisions,llm_calls,calls_per_decision,tokens_per_decision,seconds_per_decision,initial_disagreement,opinion_change,consensus_formation,decider_adoption_any,minority_adoption,review_intervention,fallback_rate,advice_diversity,officer_decider_agreement,error_rate__emperor,error_rate__minister_1,error_rate__minister_2,error_rate__minister_3,adoption__minister_1,adoption__minister_2,adoption__minister_3,error_rate__chancellor,error_rate__grand_marshal,error_rate__imperial_counsellor,adoption__chancellor,adoption__grand_marshal,error_rate__menxia,error_rate__shangshu,error_rate__zhongshu,adoption__zhongshu,error_rate__chief_grand_secretary,error_rate__grand_secretary_1,error_rate__grand_secretary_2,adoption__chief_grand_secretary,adoption__grand_secretary_1,adoption__grand_secretary_2
game-005,tang-court,tang_court,4,87,427,4.908045977011494,36767.90804597701,40.875379310344826,,0.5714285714285714,0.9583333333333334,0.7816091954022989,,0.27586206896551724,0.0,,0.7816091954022989,0.0,,,,,,,,,,,,0.0,0.0,0.08661417322834646,0.7816091954022989,,,,,,
game-006,ming-court,ming_court,1,73,487,6.671232876712328,51278.69863013698,90.1515205479452,0.3835616438356164,0.4175824175824176,0.4642857142857143,1.0,0.0,,0.0,1.2465753424657535,0.917427701674277,0.0,,,,,,,,,,,,,,,,0.011299435028248588,0.028846153846153848,0.24812030075187969,0.8356164383561644,0.9583333333333334,0.9583333333333334
game-006,shang-court,shang2_court,2,64,262,4.09375,28558.140625,46.686640625,0.25,,,0.96875,,,0.0,1.265625,0.8738239247311829,0.0,0.0,0.04477611940298507,0.0,0.8870967741935484,0.890625,0.84375,,,,,,,,,,,,,,,
game-006,qin-court,qin_court,3,84,353,4.2023809523809526,31991.904761904763,58.67704761904762,0.3625,,,0.9146341463414634,,,0.0,1.35,0.7748592870544091,0.0,,,,,,,0.14432989690721648,0.045454545454545456,0.0,0.7692307692307693,0.7804878048780488,,,,,,,,,,
game-006,tang-court,tang_court,4,65,317,4.876923076923077,35579.769230769234,65.04676923076923,,0.625,,0.9047619047619048,,0.0,0.0,,0.9047619047619048,0.0,,,,,,,,,,,,0.08641975308641975,0.0,0.27450980392156865,0.9047619047619048,,,,,,
game-007,ming-court,ming_court,1,97,798,8.22680412371134,68337.97938144329,132.90698969072164,0.6804123711340206,0.5665024630541872,0.36363636363636365,0.8854166666666666,0.23076923076923078,,0.0,1.5051546391752577,0.724780701754386,0.039603960396039604,,,,,,,,,,,,,,,,0.2747875354107649,0.017964071856287425,0.07344632768361582,0.7368421052631579,0.78125,0.65625
game-007,shang-court,shang2_court,2,63,267,4.238095238095238,29829.920634920636,55.88574603174603,0.2698412698412698,,,1.0,,,0.0,1.2698412698412698,0.8881208397337429,0.0,0.015625,0.0,0.17105263157894737,0.8412698412698413,0.9682539682539683,0.8548387096774194,,,,,,,,,,,,,,,
game-007,qin-court,qin_court,3,62,269,4.338709677419355,29421.75806451613,35.44679032258065,0.11290322580645161,,,1.0,,,0.0,1.096774193548387,0.9516129032258065,0.015873015873015872,,,,,,,0.046153846153846156,0.08823529411764706,0.1917808219178082,0.9838709677419355,0.9193548387096774,,,,,,,,,,
game-007,tang-court,tang_court,4,62,263,4.241935483870968,30729.435483870966,49.09698387096774,,1.0,0.5,0.9672131147540983,,0.08333333333333333,0.0,,0.9672131147540983,0.0,,,,,,,,,,,,0.015384615384615385,0.0,0.0,0.9672131147540983,,,,,,
game-008,ming-court,ming_court,1,57,312,5.473684210526316,36695.54385964912,47.151403508771935,0.10526315789473684,0.3333333333333333,0.6666666666666666,1.0,0.0,,0.0,1.0350877192982457,0.9881996658312447,0.017241379310344827,,,,,,,,,,,,,,,,0.0,0.11428571428571428,0.015625,0.9824561403508771,0.9821428571428571,1.0
