game,seat,z_luck,z_luck_massets,n_decisions,points,rank,net_worth
sane-141,1.0,0.13503086419753085,0.07581018518518523,18.0,3.0,1.0,4612.0
sane-141,2.0,-0.07511141651679165,-0.04215022566086396,19.0,2.0,2.0,3250.0
sane-141,3.0,-0.05920138888888893,-0.006076388888888895,24.0,0.0,4.0,1005.0
sane-141,4.0,0.02517361111111116,-0.02083333333333337,16.0,1.0,3.0,2365.0
sane-142,1.0,0.0390625,0.02864583333333326,16.0,2.0,2.0,3350.0
sane-142,2.0,0.0190972222222221,0.0234375,16.0,3.0,1.0,6471.0
sane-142,3.0,0.05078125,-0.03776041666666663,16.0,1.0,3.0,1387.0
sane-142,4.0,0.08835784313725492,-0.023856209150326768,34.0,0.0,4.0,0.0
sane-143,1.0,-0.06874999999999998,0.03749999999999998,10.0,1.0,3.0,2396.0
sane-143,2.0,-0.01388888888888884,-0.07973856209150326,17.0,0.0,4.0,1992.0
sane-143,3.0,-0.036458333333333315,-0.007725694444444486,16.0,3.0,1.0,3722.0
sane-143,4.0,0.01041666666666663,-0.008333333333333415,10.0,2.0,2.0,3232.0
sane-144,1.0,-0.07682291666666669,-0.026041666666666685,16.0,1.0,3.0,2714.0
sane-144,2.0,0.04761904761904756,-0.008928571428571452,14.0,2.0,2.0,3304.0
sane-144,3.0,-0.015625,-0.0234375,16.0,3.0,1.0,4299.0
sane-144,4.0,0.06008454106280192,-0.0009057971014492239,23.0,0.0,4.0,1677.0
sane-145,1.0,0.04513888888888884,0.00810185185185186,24.0,0.0,4.0,0.0
sane-145,2.0,0.03749999999999998,-0.019791666666666707,16.0,1.0,3.0,2295.0
sane-145,3.0,-0.03497023809523814,0.029427083333333326,16.0,2.0,2.0,2938.0
sane-145,4.0,0.08605072463768115,0.11141304347826086,23.0,3.0,1.0,6068.0
sane-146,1.0,-0.07675896900034829,-0.06413270637408569,22.0,2.0,2.0,3636.0
sane-146,2.0,0.1331075533661742,0.028838259441707814,14.0,3.0,1.0,5804.0
sane-146,3.0,-0.038461538461538436,-0.03205128205128199,13.0,1.0,3.0,2590.0
sane-146,4.0,-0.012792397660818633,0.004751461988304118,38.0,0.0,4.0,873.0
sane-147,1.0,0.034420289855072395,-0.034420289855072506,23.0,2.0,2.0,4392.0
sane-147,2.0,-0.20535714285714285,-0.008928571428571452,7.0,3.0,1.0,4470.0
sane-147,3.0,-0.09446649029982362,0.10929232804232802,18.0,1.0,3.0,2324.0
sane-147,4.0,-0.06820105820105815,-0.02947089947089948,35.0,0.0,4.0,960.0
sane-148,1.0,-0.016666666666666663,0.033333333333333326,15.0,1.0,3.0,2253.0
sane-148,2.0,0.018382352941176516,0.06740196078431371,17.0,2.0,2.0,2573.0
sane-148,3.0,0.07596153846153841,0.008348595848595819,13.0,3.0,1.0,3161.0
sane-148,4.0,0.017328042328042303,-0.006128747795414502,54.0,0.0,4.0,2202.0
sane-149,1.0,0.03048835125448035,-0.015568996415770642,31.0,1.0,3.0,523.0
sane-149,2.0,0.05882352941176472,0.007352941176470562,17.0,0.0,4.0,0.0
sane-149,3.0,-0.0492424242424242,0.013636363636363669,22.0,2.0,2.0,4004.0
sane-149,4.0,-0.013480392156862697,-0.08455882352941174,17.0,3.0,1.0,5497.0
sane-150,1.0,0.032849702380952306,-0.04527529761904764,24.0,2.0,2.0,3118.0
sane-150,2.0,0.0334429824561403,-0.02850877192982454,19.0,1.0,3.0,2512.0
sane-150,3.0,-0.038281250000000044,-0.11510416666666667,16.0,3.0,1.0,3148.0
sane-150,4.0,-0.022368421052631537,0.025438596491228038,19.0,0.0,4.0,2454.0
sane-151,1.0,-0.035611979166666696,-0.04811197916666665,16.0,1.0,3.0,2468.0
sane-151,2.0,0.0078125,0.02864583333333337,16.0,0.0,4.0,2289.0
sane-151,3.0,-0.0362103174603175,0.0535714285714286,28.0,3.0,1.0,3440.0
sane-151,4.0,0.03472222222222221,0.05092592592592593,24.0,2.0,2.0,3223.0
sane-152,1.0,0.14141414141414144,0.08712121212121204,11.0,1.0,3.0,2320.0
sane-152,2.0,-0.10743265355334325,0.01958352949732256,21.0,0.0,4.0,2304.0
sane-152,3.0,-0.08184523809523814,-0.08630952380952378,28.0,3.0,1.0,4305.0
sane-152,4.0,0.05266203703703709,-0.051504629629629595,24.0,2.0,2.0,2846.0
sane-153,1.0,0.08026315789473681,0.03421052631578936,19.0,2.0,2.0,3424.0
sane-153,2.0,0.05246913580246915,0.03626543209876543,18.0,3.0,1.0,4020.0
sane-153,3.0,0.053057025279247494,-0.04659024103468545,27.0,1.0,3.0,2572.0
sane-153,4.0,-0.08143939393939398,0.05776515151515149,22.0,0.0,4.0,1622.0
sane-154,1.0,0.0024305555555554914,0.056944444444444464,20.0,3.0,1.0,4687.0
sane-154,2.0,-0.035879629629629595,-0.04788773148148151,32.0,0.0,4.0,510.0
sane-154,3.0,-0.0675843253968254,0.014632936507936511,28.0,1.0,3.0,1879.0
sane-154,4.0,0.016269841269841212,0.025595238095238115,14.0,2.0,2.0,3952.0
sane-155,1.0,-0.04166666666666663,0.03508771929824561,19.0,3.0,1.0,3700.0
sane-155,2.0,0.005952380952381042,-0.05654761904761907,14.0,1.0,3.0,2937.0
sane-155,3.0,-0.001169590643274876,-0.02573099415204677,19.0,0.0,4.0,2270.0
sane-155,4.0,-0.01771080368906458,0.09765151515151516,10.0,2.0,2.0,3010.0
sane-156,1.0,-0.026515151515151547,0.0018939393939393367,22.0,3.0,1.0,4276.0
sane-156,2.0,-0.011904761904761862,0.008377425044091669,18.0,2.0,2.0,2747.0
sane-156,3.0,-0.1506410256410256,0.01602564102564108,13.0,1.0,3.0,2193.0
sane-156,4.0,0.0050000000000000044,-0.051851851851851816,45.0,0.0,4.0,1982.0
sane-157,1.0,0.03949275362318827,-0.04528985507246375,23.0,2.0,2.0,2637.0
sane-157,2.0,-0.09227430555555555,0.007725694444444486,24.0,3.0,1.0,2948.0
sane-157,3.0,0.0071428571428570065,0.02857142857142858,28.0,1.0,3.0,2324.0
sane-157,4.0,-0.00912698412698415,0.04254850088183426,27.0,0.0,4.0,1536.0
sane-158,1.0,0.024801587301587324,-0.008928571428571452,14.0,1.0,3.0,1997.0
sane-158,2.0,-0.017361111111111105,0.05208333333333337,12.0,2.0,2.0,2447.0
sane-158,3.0,-0.0574698344584707,-0.04440382849473762,44.0,0.0,4.0,905.0
sane-158,4.0,-0.10606060606060602,0.01325757575757569,11.0,3.0,1.0,5467.0
sane-159,1.0,0.04761904761904767,0.014186507936507886,27.0,2.0,2.0,3065.0
