experiment,controller_type,seat,mean_delta_v_executed,mean_regret,n_decisions,game_index
sane_random,sane_random,1.0,26.790825570859376,77.35971860268754,57.0,74
sane_random,sane_random,2.0,-8.93504656205048,106.22810848045542,63.0,74
sane_random,sane_random,3.0,85.9918328558492,69.6417708020881,56.0,74
sane_random,sane_random,4.0,31.939283342153267,180.0480183545296,59.0,74
sane_random,sane_random,1.0,30.460712513276945,20.956103154838353,59.0,75
sane_random,sane_random,2.0,36.06938591337605,61.13421652218248,61.0,75
sane_random,sane_random,3.0,50.871022970059094,52.720105235926376,60.0,75
sane_random,sane_random,4.0,134.43933350718547,225.1397073041972,62.0,75
sane_random,sane_random,1.0,35.83836692461214,27.90918132859876,62.0,76
sane_random,sane_random,2.0,65.21119567198171,95.67049857362107,58.0,76
sane_random,sane_random,3.0,55.6504807329874,28.958502340611965,54.0,76
sane_random,sane_random,4.0,-16.012777930720524,122.40320658756225,61.0,76
sane_random,sane_random,1.0,9.144148460500404,54.60411438374606,65.0,77
sane_random,sane_random,2.0,87.77587452643478,37.004435015569214,54.0,77
sane_random,sane_random,3.0,16.595105652326474,113.87078312954816,56.0,77
sane_random,sane_random,4.0,6.913169679418813,73.05454479084166,60.0,77
sane_random,sane_random,1.0,29.899539224116467,29.772223492736007,62.0,78
sane_random,sane_random,2.0,3.293595702486959,72.08758369743558,59.0,78
sane_random,sane_random,3.0,7.880540672361661,47.51595834840269,69.0,78
sane_random,sane_random,4.0,-55.39043527396676,161.67007516175545,56.0,78
sane_random,sane_random,1.0,136.3602764627394,128.8594771286655,59.0,79
sane_random,sane_random,2.0,139.14356851537698,139.55738337484487,60.0,79
sane_random,sane_random,3.0,15.659367969623013,98.00187212003672,65.0,79
sane_random,sane_random,4.0,50.161299496456145,7.320546224278766,54.0,79
sane_random,sane_random,1.0,36.33815510417802,119.44597187188762,63.0,80
sane_random,sane_random,2.0,111.79625076120185,66.05790592581374,63.0,80
sane_random,sane_random,3.0,29.19666064229772,57.79541551348185,59.0,80
sane_random,sane_random,4.0,-32.6679840331143,79.42995959209819,60.0,80
sane_random,sane_random,1.0,70.47148784182083,103.66419778245174,67.0,81
sane_random,sane_random,2.0,6.1958679646563315,41.506015909043704,73.0,81
sane_random,sane_random,3.0,45.05210065304104,43.93390515950974,59.0,81
sane_random,sane_random,4.0,-9.79513764026796,132.46355611472657,62.0,81
sane_random,sane_random,1.0,65.06813401040718,19.183110494473276,56.0,82
sane_random,sane_random,2.0,48.62401381348261,87.20439812961318,65.0,82
sane_random,sane_random,3.0,3.4664841120198755,65.62843914769199,83.0,82
sane_random,sane_random,4.0,73.69608219778588,132.58595614640848,59.0,82
sane_random,sane_random,1.0,75.7458290116347,93.90275600413142,62.0,83
sane_random,sane_random,2.0,64.04772366091206,60.0749864944115,56.0,83
sane_random,sane_random,3.0,57.22328806056306,63.31332938289327,57.0,83
sane_random,sane_random,4.0,27.30860381931235,30.7274837255723,73.0,83
sane_random,sane_random,1.0,59.022750665966186,56.64470674273811,58.0,84
sane_random,sane_random,2.0,67.81827717732625,71.1895506939653,57.0,84
sane_random,sane_random,3.0,22.764279768377232,99.74022657904013,59.0,84
sane_random,sane_random,4.0,16.972696982616245,58.86141565676077,55.0,84
sane_random,sane_random,1.0,77.25672290512271,127.25659050098301,63.0,85
sane_random,sane_random,2.0,-0.8068622339228613,83.18992660751516,77.0,85
sane_random,sane_random,3.0,40.59827922754647,29.977756729849634,62.0,85
sane_random,sane_random,4.0,-126.82516221098535,140.54667353573078,61.0,85
sane_random,sane_random,1.0,8.936383450784806,91.61443915757081,61.0,86
sane_random,sane_random,2.0,47.258725322957815,63.88322861668212,63.0,86
sane_random,sane_random,3.0,42.934338322715405,53.2137811662062,58.0,86
