game_id,entity,controller_type,seat,decisions,llm_calls,calls_per_decision,tokens_per_decision,seconds_per_decision,initial_disagreement,opinion_change,consensus_formation,emperor_adoption,minority_adoption,review_intervention,fallback_rate,error_rate,advice_diversity,officer_decider_agreement
game-006,shang-court,shang2_court,2,64,262,4.09375,28558.140625,46.686640625,0.25,,,0.96875,,,0.0,0.011450381679389313,1.265625,0.8736842105263158
game-006,qin-court,qin_court,3,84,353,4.2023809523809526,31991.904761904763,58.67704761904762,0.3625,,,0.9146341463414634,,,0.0,0.05099150141643059,1.35,0.775
game-006,tang-court,tang_court,4,65,317,4.876923076923077,35579.769230769234,65.04676923076923,,0.625,,0.9047619047619048,,0.0,0.0,0.11041009463722397,,0.9047619047619048
game-007,ming-court,ming_court,1,97,798,8.22680412371134,68337.97938144329,132.90698969072164,0.6804123711340206,0.5665024630541872,0.36363636363636365,0.8764044943820225,0.23076923076923078,,0.0,0.14661654135338345,1.5051546391752577,0.7247386759581882
game-007,shang-court,shang2_court,2,63,267,4.238095238095238,29829.920634920636,55.88574603174603,0.2698412698412698,,,1.0,,,0.0,0.052434456928838954,1.2698412698412698,0.8882978723404256
game-007,qin-court,qin_court,3,62,269,4.338709677419355,29421.75806451613,35.44679032258065,0.11290322580645161,,,1.0,,,0.0,0.08921933085501858,1.096774193548387,0.9516129032258065
game-007,tang-court,tang_court,4,62,263,4.241935483870968,30729.435483870966,49.09698387096774,,1.0,0.5,0.9672131147540983,,0.08333333333333333,0.0,0.0038022813688212928,,0.9672131147540983
game-008,ming-court,ming_court,1,57,312,5.473684210526316,36695.54385964912,47.151403508771935,0.10526315789473684,0.3333333333333333,0.6666666666666666,1.0,0.0,,0.0,0.03205128205128205,1.0350877192982457,0.9882352941176471
game-008,shang-court,shang2_court,2,56,235,4.196428571428571,29219.01785714286,48.98648214285714,0.23214285714285715,,,1.0,,,0.0,0.05531914893617021,1.25,0.9036144578313253
game-008,qin-court,qin_court,3,63,263,4.174603174603175,29654.365079365078,32.077396825396825,0.09836065573770492,,,1.0,,,0.0,0.04182509505703422,1.098360655737705,0.9516129032258065
game-008,tang-court,tang_court,4,69,293,4.246376811594203,30442.231884057972,40.9112463768116,,0.8888888888888888,1.0,0.8985507246376812,,0.03571428571428571,0.0,0.010238907849829351,,0.8985507246376812
game-009,tang-court,tang_court,1,62,256,4.129032258064516,29064.387096774193,37.28306451612904,,,,1.0,,0.0,0.0,0.00390625,,1.0
game-009,ming-court,ming_court,2,72,507,7.041666666666667,53592.84722222222,98.73376388888889,0.4722222222222222,0.4166666666666667,0.5,0.9166666666666666,0.15384615384615385,,0.0,0.09270216962524655,1.3194444444444444,0.8651162790697674
game-009,shang-court,shang2_court,3,76,339,4.4605263157894735,33675.18421052631,64.67961842105262,0.5394736842105263,,,0.9459459459459459,,,0.0,0.10619469026548672,1.7105263157894737,0.6728110599078341
game-009,qin-court,qin_court,4,71,293,4.126760563380282,29761.0,45.48692957746479,0.3076923076923077,,,0.971830985915493,,,0.0,0.030716723549488054,1.2923076923076924,0.8382352941176471
game-010,tang-court,tang_court,1,76,312,4.105263157894737,29855.75,43.25561842105263,,1.0,1.0,0.9722222222222222,,0.03225806451612903,0.0,0.0,,0.9722222222222222
game-010,ming-court,ming_court,2,69,435,6.304347826086956,46583.739130434784,83.56895652173912,0.2898550724637681,0.484375,0.4,0.9393939393939394,0.2,,0.0,0.07126436781609195,1.2028985507246377,0.8928571428571429
game-010,shang-court,shang2_court,3,89,378,4.247191011235955,31451.370786516854,61.16,0.5056179775280899,,,0.9325842696629213,,,0.0,0.0291005291005291,1.5730337078651686,0.7137404580152672
game-010,qin-court,qin_court,4,59,258,4.372881355932203,30545.20338983051,50.839474576271186,0.2542372881355932,,,0.9830508474576272,,,0.0,0.09302325581395349,1.2542372881355932,0.8559322033898306
game-011,tang-court,tang_court,1,70,325,4.642857142857143,33027.1,34.7708,,0.29411764705882354,1.0,0.9285714285714286,,0.14285714285714285,0.0,0.04,,0.9285714285714286
game-011,ming-court,ming_court,2,61,396,6.491803278688525,47211.2131147541,85.74962295081967,0.3770491803278688,0.3698630136986301,0.6521739130434783,0.9344262295081968,0.375,,0.0,0.05808080808080808,1.1311475409836065,0.9120879120879121
game-011,shang-court,shang2_court,3,88,393,4.465909090909091,34605.88636363636,85.35495454545455,0.6363636363636364,,,0.9431818181818182,,,0.0,0.11450381679389313,1.75,0.65748031496063
game-011,qin-court,qin_court,4,46,190,4.130434782608695,28203.58695652174,42.33695652173913,0.1956521739130435,,,0.9565217391304348,,,0.0,0.031578947368421054,1.2173913043478262,0.8695652173913043
game-012,tang-court,tang_court,1,92,461,5.010869565217392,39809.086956521736,74.84121739130434,,0.8076923076923077,1.0,0.9560439560439561,,0.17647058823529413,0.010869565217391304,0.0911062906724512,,0.9560439560439561
game-012,ming-court,ming_court,2,53,311,5.867924528301887,38561.71698113208,52.66167924528302,0.11320754716981132,0.2647058823529412,0.3333333333333333,0.9787234042553191,0.2,,0.0,0.08038585209003216,1.0943396226415094,0.9559748427672956
game-012,shang-court,shang2_court,3,58,240,4.137931034482759,27747.189655172413,41.77756896551725,0.1206896551724138,,,1.0,,,0.0,0.03333333333333333,1.1206896551724137,0.9595375722543352
game-012,qin-court,qin_court,4,59,246,4.169491525423729,28549.966101694914,35.49608474576271,0.1206896551724138,,,1.0,,,0.0,0.04065040650406504,1.0862068965517242,0.9572649572649573
game-013,qin-court,qin_court,1,60,260,4.333333333333333,29950.05,46.1962,0.13559322033898305,,,0.9833333333333333,,,0.0,0.08846153846153847,1.11864406779661,0.9243697478991597
game-013,tang-court,tang_court,2,48,242,5.041666666666667,36166.291666666664,58.90658333333334,,0.7222222222222222,1.0,0.9347826086956522,,0.15,0.0,0.049586776859504134,,0.9347826086956522
game-013,ming-court,ming_court,3,67,391,5.835820895522388,41578.53731343283,67.78120895522389,0.208955223880597,0.3695652173913043,0.7142857142857143,0.9552238805970149,0.3333333333333333,,0.0,0.043478260869565216,1.0746268656716418,0.9402985074626866
